MakeID,Make
200000001,Audi
200000081,BMW
200000089,Infiniti
200000130,Mercedes-Benz
200000201,Nissan
200000238,Volkswagen
200000404,Chevrolet
200000886,Porsche
200001398,Hyundai
200001444,Honda
200001510,Jeep
200001623,Lexus
200001663,Cadillac
200001769,Aston Martin
200001777,Lincoln
200001853,Suzuki
200002038,Acura
200002305,MINI
200002634,Pontiac
200002915,Mitsubishi
200003063,Kia
200003196,Jaguar
200003381,Toyota
200003644,Chrysler
200004021,HUMMER
200004100,Mazda
200004446,Saturn
200004491,Subaru
200005044,Rolls-Royce
200005143,Ford
200005745,Fisker
200005848,Bentley
200005922,Lamborghini
200006023,Ferrari
200006242,Lotus
200006515,Scion
200006582,Land-Rover
200006659,Buick
200007302,GMC
200007711,Mercury
200009788,Dodge
200010382,Volvo
200018920,Tesla
200028029,Maserati
200030397,Bugatti
200033022,FIAT
200038885,smart
200043087,Maybach
200046567,Spyker
200051397,McLaren
200074504,Saab
200110731,Isuzu
200194838,Panoz
200249342,Oldsmobile
200312185,Daewoo
200339126,Plymouth
200347864,AM General
200347865,Eagle
200347866,Geo
200393150,Ram
200464140,Alfa Romeo
