"MakeID","ModelID","Name"
200347864,1,"Hummer"
200002038,2,"CL"
200002038,3,"ILX"
200002038,4,"Integra"
200002038,5,"Legend"
200002038,6,"MDX"
200002038,7,"NSX"
200002038,8,"RDX"
200002038,9,"RL"
200002038,10,"RLX"
200002038,11,"RSX"
200002038,12,"SLX"
200002038,13,"TL"
200002038,14,"TSX"
200002038,15,"TSX Sport Wagon"
200002038,16,"Vigor"
200002038,17,"ZDX"
200464140,18,"4C"
200001769,19,"DB7"
200001769,20,"DB9"
200001769,21,"DBS"
200001769,22,"Rapide"
200001769,23,"Rapide S"
200001769,24,"V12 Vanquish"
200001769,25,"V12 Vantage"
200001769,26,"V8 Vantage"
200001769,27,"Vanquish"
200001769,28,"Virage"
200000001,29,"100"
200000001,30,"200"
200000001,31,"80"
200000001,32,"90"
200000001,33,"A3"
200000001,34,"A3 e-tron"
200000001,35,"A4"
200000001,36,"A5"
200000001,37,"A6"
200000001,38,"A7"
200000001,39,"A8"
200000001,40,"Cabriolet"
200000001,41,"Coupe"
200000001,42,"Q3"
200000001,43,"Q5"
200000001,44,"Q7"
200000001,45,"R8"
200000001,46,"RS 4"
200000001,47,"RS 5"
200000001,48,"RS 6"
200000001,49,"RS 7"
200000001,50,"S3"
200000001,51,"S4"
200000001,52,"S5"
200000001,53,"S6"
200000001,54,"S7"
200000001,55,"S8"
200000001,56,"SQ5"
200000001,57,"TT"
200000001,58,"TT RS"
200000001,59,"TTS"
200000001,60,"V8"
200000001,61,"allroad"
200000001,62,"allroad quattro"
200000081,63,"1 Series"
200000081,64,"1 Series M"
200000081,65,"2 Series"
200000081,66,"3 Series"
200000081,67,"3 Series Gran Turismo"
200000081,68,"4 Series"
200000081,69,"5 Series"
200000081,70,"5 Series Gran Turismo"
200000081,71,"6 Series"
200000081,72,"6 Series Gran Coupe"
200000081,73,"7 Series"
200000081,74,"8 Series"
200000081,75,"ALPINA B7"
200000081,76,"ActiveHybrid 5"
200000081,77,"ActiveHybrid 7"
200000081,78,"ActiveHybrid X6"
200000081,79,"Alpina"
200000081,80,"M"
200000081,81,"M3"
200000081,82,"M4"
200000081,83,"M5"
200000081,84,"M6"
200000081,85,"M6 Gran Coupe"
200000081,86,"X1"
200000081,87,"X3"
200000081,88,"X4"
200000081,89,"X5"
200000081,90,"X5 M"
200000081,91,"X6"
200000081,92,"X6 M"
200000081,93,"Z3"
200000081,94,"Z4"
200000081,95,"Z4 M"
200000081,96,"Z8"
200000081,97,"i3"
200000081,98,"i8"
200005848,99,"Arnage"
200005848,100,"Azure"
200005848,101,"Azure T"
200005848,102,"Brooklands"
200005848,103,"Continental"
200005848,104,"Continental Flying Spur"
200005848,105,"Continental Flying Spur Speed"
200005848,106,"Continental GT"
200005848,107,"Continental GT Speed"
200005848,108,"Continental GTC"
200005848,109,"Continental GTC Speed"
200005848,110,"Continental Supersports"
200005848,111,"Continental Supersports Convertible"
200005848,112,"Flying Spur"
200005848,113,"Mulsanne"
200030397,114,"Veyron 16.4"
200006659,115,"Anthem"
200006659,116,"Century"
200006659,117,"Electra"
200006659,118,"Enclave"
200006659,119,"Encore"
200006659,120,"Estate Wagon"
200006659,121,"LaCrosse"
200006659,122,"LeSabre"
200006659,123,"Lucerne"
200006659,124,"Park Avenue"
200006659,125,"Rainier"
200006659,126,"Reatta"
200006659,127,"Regal"
200006659,128,"Rendezvous"
200006659,129,"Riviera"
200006659,130,"Roadmaster"
200006659,131,"Skylark"
200006659,132,"Terraza"
200006659,133,"Verano"
200001663,134,"ATS"
200001663,135,"ATS Coupe"
200001663,136,"ATS-V"
200001663,137,"Allante"
200001663,138,"Brougham"
200001663,139,"CTS"
200001663,140,"CTS Coupe"
200001663,141,"CTS Wagon"
200001663,142,"CTS-V"
200001663,143,"CTS-V Coupe"
200001663,144,"CTS-V Wagon"
200001663,145,"Catera"
200001663,146,"DTS"
200001663,147,"DeVille"
200001663,148,"ELR"
200001663,149,"Eldorado"
200001663,150,"Escalade"
200001663,151,"Escalade ESV"
200001663,152,"Escalade EXT"
200001663,153,"Escalade Hybrid"
200001663,154,"Fleetwood"
200001663,155,"SRX"
200001663,156,"STS"
200001663,157,"STS-V"
200001663,158,"Seville"
200001663,159,"Sixty Special"
200001663,160,"XLR"
200001663,161,"XLR-V"
200001663,162,"XTS"
200000404,163,"Astro"
200000404,164,"Astro Cargo"
200000404,165,"Avalanche"
200000404,166,"Aveo"
200000404,167,"Beretta"
200000404,168,"Black Diamond Avalanche"
200000404,169,"Blazer"
200000404,170,"C/K 1500 Series"
200000404,171,"C/K 2500 Series"
200000404,172,"C/K 3500 Series"
200000404,173,"Camaro"
200000404,174,"Caprice"
200000404,175,"Captiva Sport"
200000404,176,"Cavalier"
200000404,177,"Celebrity"
200000404,178,"Chevy Van"
200000404,179,"Chevy Van Classic"
200000404,180,"City Express"
200000404,181,"Classic"
200000404,182,"Cobalt"
200000404,183,"Colorado"
200000404,184,"Corsica"
200000404,185,"Corvette"
200000404,186,"Corvette Stingray"
200000404,187,"Cruze"
200000404,188,"Equinox"
200000404,189,"Express"
200000404,190,"Express Cargo"
200000404,191,"HHR"
200000404,192,"Impala"
200000404,193,"Lumina"
200000404,194,"Lumina Minivan"
200000404,195,"Malibu"
200000404,196,"Malibu Classic"
200000404,197,"Malibu Hybrid"
200000404,198,"Malibu Maxx"
200000404,199,"Metro"
200000404,200,"Monte Carlo"
200000404,201,"Prizm"
200000404,202,"R/V 3500 Series"
200000404,203,"S-10"
200000404,204,"S-10 Blazer"
200000404,205,"SS"
200000404,206,"SSR"
200000404,207,"Silverado 1500"
200000404,208,"Silverado 1500 Classic"
200000404,209,"Silverado 1500 Hybrid"
200000404,210,"Silverado 1500HD"
200000404,211,"Silverado 1500HD Classic"
200000404,212,"Silverado 2500"
200000404,213,"Silverado 2500HD"
200000404,214,"Silverado 2500HD Classic"
200000404,215,"Silverado 3500"
200000404,216,"Silverado 3500 Classic"
200000404,217,"Silverado 3500HD"
200000404,218,"Sonic"
200000404,219,"Spark"
200000404,220,"Spark EV"
200000404,221,"Sportvan"
200000404,222,"Suburban"
200000404,223,"Tahoe"
200000404,224,"Tahoe Hybrid"
200000404,225,"Tahoe Limited/Z71"
200000404,226,"Tracker"
200000404,227,"TrailBlazer"
200000404,228,"TrailBlazer EXT"
200000404,229,"Traverse"
200000404,230,"Uplander"
200000404,231,"Venture"
200000404,232,"Volt"
200003644,233,"200"
200003644,234,"300"
200003644,235,"300M"
200003644,236,"Aspen"
200003644,237,"Cirrus"
200003644,238,"Concorde"
200003644,239,"Crossfire"
200003644,240,"Grand Voyager"
200003644,241,"Imperial"
200003644,242,"LHS"
200003644,243,"Le Baron"
